"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.219546547E2,6.250147890E1,2.543578372E1,1.776954853E2,1.973447512E2,1.322830503E0,4.060186005E1,1.955150576E-1,4.748651467E0,6.116449532E0,-1.000000000E0
1.229546587E2,6.250148720E1,2.543580527E1,1.772857453E2,1.969350018E2,1.380076010E0,4.060186005E1,1.969831601E-1,4.748651466E0,5.491301988E0,-1.000000000E0
1.239546621E2,6.250149723E1,2.543582386E1,1.774102583E2,1.970595042E2,1.441539662E0,4.060186005E1,1.983432906E-1,4.748651462E0,5.549607463E0,-1.000000000E0
1.249536655E2,6.250150652E1,2.543584109E1,1.773370772E2,1.969863132E2,1.398590349E0,4.060186005E1,2.001743439E-1,4.748651450E0,6.429350794E0,-1.000000000E0
1.259536694E2,6.250151903E1,2.543586428E1,1.769834813E2,1.966327041E2,1.620996170E0,4.060186005E1,2.014738637E-1,4.748651421E0,5.929528467E0,-1.000000000E0
1.269536728E2,6.250152791E1,2.543588074E1,1.769351937E2,1.965844071E2,1.347658649E0,4.060186005E1,2.027601436E-1,4.748651399E0,6.756088825E0,-1.000000000E0
1.279536762E2,6.250153670E1,2.543589703E1,1.764475066E2,1.960967108E2,1.331948758E0,4.060186005E1,2.039770878E-1,4.748651458E0,5.644765651E0,-1.000000000E0
1.289536804E2,6.250154502E1,2.543591245E1,1.767251794E2,1.963743748E2,1.341185201E0,4.060186005E1,2.051363188E-1,4.748651478E0,5.373159961E0,-1.000000000E0
1.299536836E2,6.250155304E1,2.543592686E1,1.762224443E2,1.958716313E2,1.289836171E0,3.823469162E1,2.070961195E-1,4.748651475E0,5.545950285E0,-1.000000000E0
1.309536868E2,6.250156689E1,2.543595046E1,1.762994101E2,1.959485826E2,1.547785831E0,3.823469162E1,2.083471924E-1,4.748651491E0,5.422147932E0,-1.000000000E0
1.319536906E2,6.250157573E1,2.543596553E1,1.767107642E2,1.963599275E2,1.363413066E0,3.823469162E1,2.103341016E-1,4.748651464E0,6.280963307E0,-1.000000000E0
1.329536942E2,6.250158978E1,2.543598946E1,1.765961471E2,1.962452958E2,1.697372421E0,3.823469162E1,2.116942123E-1,4.748651474E0,5.319536932E0,-1.000000000E0
1.339536977E2,6.250159939E1,2.543600584E1,1.761197503E2,1.957688889E2,1.377107727E0,3.823469162E1,2.133898970E-1,4.748651475E0,5.889094282E0,-1.000000000E0
1.349546226E2,6.250161137E1,2.543602627E1,1.761011084E2,1.957502346E2,1.519831534E0,3.823469162E1,2.149401688E-1,4.748651484E0,5.520478695E0,-1.000000000E0
1.359546397E2,6.250162178E1,2.543604637E1,1.760294550E2,1.956785700E2,1.370891620E0,4.514089584E1,2.162231117E-1,4.748651495E0,6.251864406E0,-1.000000000E0
1.369546313E2,6.250162992E1,2.543606407E1,1.755593122E2,1.952084184E2,1.233364875E0,4.514089584E1,2.182354177E-1,4.748651494E0,5.524872983E0,-1.000000000E0
1.379546289E2,6.250164386E1,2.543608907E1,1.762699029E2,1.959189944E2,1.421938709E0,5.359863663E1,2.204514778E-1,4.748651476E0,5.480504403E0,-1.000000000E0
1.389546262E2,6.250165673E1,2.543612202E1,1.766730835E2,1.963221604E2,1.702713753E0,6.202270889E1,2.216873257E-1,4.748651474E0,5.453543812E0,-1.000000000E0
